,1 ADULT,1 ADULT,1 ADULT,1 ADULT,2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),County,State,URL,Unnamed: 0_level_0
0,$15.91,$32.43,$40.61,$53.02,$25.87,$30.63,$34.38,$38.27,$12.93,$17.65,$22.28,$26.60,Sherburne County,Minnesota,https://livingwage.mit.edu/counties/27141,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Sherburne County,Minnesota,https://livingwage.mit.edu/counties/27141,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Sherburne County,Minnesota,https://livingwage.mit.edu/counties/27141,Minimum Wage
0,$13.80,$29.29,$36.67,$48.07,$23.31,$27.49,$31.24,$33.38,$11.66,$16.08,$20.70,$24.13,Sibley County,Minnesota,https://livingwage.mit.edu/counties/27143,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Sibley County,Minnesota,https://livingwage.mit.edu/counties/27143,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Sibley County,Minnesota,https://livingwage.mit.edu/counties/27143,Minimum Wage
0,$14.34,$28.80,$35.54,$46.87,$23.57,$27.63,$31.38,$34.10,$11.79,$15.83,$20.12,$23.53,Stearns County,Minnesota,https://livingwage.mit.edu/counties/27145,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Stearns County,Minnesota,https://livingwage.mit.edu/counties/27145,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Stearns County,Minnesota,https://livingwage.mit.edu/counties/27145,Minimum Wage
0,$13.89,$29.01,$35.75,$47.09,$23.39,$27.84,$31.60,$34.32,$11.70,$15.94,$20.23,$23.64,Steele County,Minnesota,https://livingwage.mit.edu/counties/27147,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Steele County,Minnesota,https://livingwage.mit.edu/counties/27147,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Steele County,Minnesota,https://livingwage.mit.edu/counties/27147,Minimum Wage
0,$13.36,$27.66,$33.93,$44.00,$23.36,$26.97,$30.73,$32.69,$11.68,$15.26,$18.92,$22.09,Stevens County,Minnesota,https://livingwage.mit.edu/counties/27149,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Stevens County,Minnesota,https://livingwage.mit.edu/counties/27149,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Stevens County,Minnesota,https://livingwage.mit.edu/counties/27149,Minimum Wage
0,$14.31,$29.52,$36.90,$48.07,$23.32,$27.72,$31.47,$33.38,$11.66,$16.19,$20.81,$24.13,St. Louis County,Minnesota,https://livingwage.mit.edu/counties/27137,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,St. Louis County,Minnesota,https://livingwage.mit.edu/counties/27137,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,St. Louis County,Minnesota,https://livingwage.mit.edu/counties/27137,Minimum Wage
0,$13.92,$27.66,$33.93,$44.11,$22.81,$26.97,$30.73,$32.80,$11.40,$15.26,$18.92,$22.15,Swift County,Minnesota,https://livingwage.mit.edu/counties/27151,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Swift County,Minnesota,https://livingwage.mit.edu/counties/27151,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Swift County,Minnesota,https://livingwage.mit.edu/counties/27151,Minimum Wage
0,$13.32,$28.14,$34.88,$44.95,$22.73,$26.97,$30.73,$32.20,$11.37,$15.50,$19.39,$22.57,Todd County,Minnesota,https://livingwage.mit.edu/counties/27153,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Todd County,Minnesota,https://livingwage.mit.edu/counties/27153,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Todd County,Minnesota,https://livingwage.mit.edu/counties/27153,Minimum Wage
0,$13.36,$28.14,$34.88,$44.95,$22.73,$26.97,$30.73,$32.20,$11.37,$15.50,$19.39,$22.57,Traverse County,Minnesota,https://livingwage.mit.edu/counties/27155,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Traverse County,Minnesota,https://livingwage.mit.edu/counties/27155,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Traverse County,Minnesota,https://livingwage.mit.edu/counties/27155,Minimum Wage
0,$13.62,$28.56,$35.31,$46.60,$23.52,$27.40,$31.15,$33.83,$11.76,$15.71,$20.01,$23.40,Wabasha County,Minnesota,https://livingwage.mit.edu/counties/27157,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Wabasha County,Minnesota,https://livingwage.mit.edu/counties/27157,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Wabasha County,Minnesota,https://livingwage.mit.edu/counties/27157,Minimum Wage
0,$13.36,$27.66,$33.93,$43.65,$22.87,$26.97,$30.73,$32.34,$11.43,$15.26,$18.92,$21.92,Wadena County,Minnesota,https://livingwage.mit.edu/counties/27159,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Wadena County,Minnesota,https://livingwage.mit.edu/counties/27159,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Wadena County,Minnesota,https://livingwage.mit.edu/counties/27159,Minimum Wage
0,$13.86,$28.14,$34.88,$45.98,$22.73,$26.97,$30.73,$33.22,$11.37,$15.50,$19.39,$23.09,Waseca County,Minnesota,https://livingwage.mit.edu/counties/27161,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Waseca County,Minnesota,https://livingwage.mit.edu/counties/27161,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Waseca County,Minnesota,https://livingwage.mit.edu/counties/27161,Minimum Wage
0,$15.91,$33.33,$42.43,$55.75,$25.87,$30.63,$34.38,$38.27,$12.93,$18.10,$23.19,$27.97,Washington County,Minnesota,https://livingwage.mit.edu/counties/27163,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Washington County,Minnesota,https://livingwage.mit.edu/counties/27163,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Washington County,Minnesota,https://livingwage.mit.edu/counties/27163,Minimum Wage
0,$13.36,$27.66,$33.93,$44.05,$23.36,$26.97,$30.73,$32.74,$11.68,$15.26,$18.92,$22.12,Watonwan County,Minnesota,https://livingwage.mit.edu/counties/27165,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Watonwan County,Minnesota,https://livingwage.mit.edu/counties/27165,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Watonwan County,Minnesota,https://livingwage.mit.edu/counties/27165,Minimum Wage
0,$13.36,$27.66,$33.93,$44.53,$22.89,$26.97,$30.73,$33.22,$11.44,$15.26,$18.92,$22.36,Wilkin County,Minnesota,https://livingwage.mit.edu/counties/27167,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Wilkin County,Minnesota,https://livingwage.mit.edu/counties/27167,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Wilkin County,Minnesota,https://livingwage.mit.edu/counties/27167,Minimum Wage
0,$13.61,$28.58,$35.33,$45.60,$23.21,$27.42,$31.17,$32.85,$11.60,$15.73,$20.02,$22.90,Winona County,Minnesota,https://livingwage.mit.edu/counties/27169,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Winona County,Minnesota,https://livingwage.mit.edu/counties/27169,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Winona County,Minnesota,https://livingwage.mit.edu/counties/27169,Minimum Wage
0,$15.91,$32.43,$40.61,$53.02,$25.87,$30.63,$34.38,$38.27,$12.93,$17.65,$22.28,$26.60,Wright County,Minnesota,https://livingwage.mit.edu/counties/27171,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Wright County,Minnesota,https://livingwage.mit.edu/counties/27171,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Wright County,Minnesota,https://livingwage.mit.edu/counties/27171,Minimum Wage
0,$13.36,$27.66,$33.93,$44.05,$22.98,$26.97,$30.73,$32.74,$11.49,$15.26,$18.92,$22.12,Yellow Medicine County,Minnesota,https://livingwage.mit.edu/counties/27173,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Yellow Medicine County,Minnesota,https://livingwage.mit.edu/counties/27173,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Yellow Medicine County,Minnesota,https://livingwage.mit.edu/counties/27173,Minimum Wage
0,$13.89,$28.89,$36.11,$46.65,$22.90,$27.25,$31.00,$32.84,$11.38,$15.88,$20.21,$23.42,"Duluth, MN",Minnesota,https://livingwage.mit.edu/metros/20260,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,"Duluth, MN",Minnesota,https://livingwage.mit.edu/metros/20260,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,"Duluth, MN",Minnesota,https://livingwage.mit.edu/metros/20260,Minimum Wage
0,$14.13,$29.39,$36.13,$47.31,$23.66,$28.22,$31.98,$34.93,$11.50,$16.13,$20.22,$23.75,"Mankato-North Mankato, MN",Minnesota,https://livingwage.mit.edu/metros/31860,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,"Mankato-North Mankato, MN",Minnesota,https://livingwage.mit.edu/metros/31860,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,"Mankato-North Mankato, MN",Minnesota,https://livingwage.mit.edu/metros/31860,Minimum Wage
0,$15.65,$32.94,$41.53,$54.72,$25.60,$30.36,$34.11,$38.00,$12.25,$17.91,$22.74,$27.46,"Minneapolis-St. Paul-Bloomington, MN",Minnesota,https://livingwage.mit.edu/metros/33460,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,"Minneapolis-St. Paul-Bloomington, MN",Minnesota,https://livingwage.mit.edu/metros/33460,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,"Minneapolis-St. Paul-Bloomington, MN",Minnesota,https://livingwage.mit.edu/metros/33460,Minimum Wage
0,$14.28,$30.27,$37.59,$49.39,$23.94,$28.54,$32.29,$35.26,$11.57,$16.57,$20.96,$24.79,"Rochester, MN",Minnesota,https://livingwage.mit.edu/metros/40340,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,"Rochester, MN",Minnesota,https://livingwage.mit.edu/metros/40340,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,"Rochester, MN",Minnesota,https://livingwage.mit.edu/metros/40340,Minimum Wage
0,$14.08,$28.54,$35.28,$46.22,$23.32,$27.38,$31.13,$33.85,$11.47,$15.70,$19.80,$23.21,"St. Cloud, MN",Minnesota,https://livingwage.mit.edu/metros/41060,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,"St. Cloud, MN",Minnesota,https://livingwage.mit.edu/metros/41060,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,"St. Cloud, MN",Minnesota,https://livingwage.mit.edu/metros/41060,Minimum Wage
0,$13.03,$26.22,$31.90,$39.89,$22.02,$25.93,$29.54,$30.89,$11.01,$14.49,$17.82,$20.03,Adams County,Mississippi,https://livingwage.mit.edu/counties/28001,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Adams County,Mississippi,https://livingwage.mit.edu/counties/28001,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Adams County,Mississippi,https://livingwage.mit.edu/counties/28001,Minimum Wage
0,$12.90,$25.84,$31.31,$39.69,$21.70,$25.78,$29.38,$31.35,$10.85,$14.31,$17.53,$19.93,Alcorn County,Mississippi,https://livingwage.mit.edu/counties/28003,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alcorn County,Mississippi,https://livingwage.mit.edu/counties/28003,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alcorn County,Mississippi,https://livingwage.mit.edu/counties/28003,Minimum Wage
0,$12.90,$25.28,$30.18,$38.00,$21.84,$25.78,$29.38,$31.35,$10.92,$14.03,$16.97,$19.09,Amite County,Mississippi,https://livingwage.mit.edu/counties/28005,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Amite County,Mississippi,https://livingwage.mit.edu/counties/28005,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Amite County,Mississippi,https://livingwage.mit.edu/counties/28005,Minimum Wage
0,$12.90,$25.65,$30.92,$38.72,$22.16,$25.78,$29.38,$30.95,$11.08,$14.21,$17.34,$19.44,Attala County,Mississippi,https://livingwage.mit.edu/counties/28007,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Attala County,Mississippi,https://livingwage.mit.edu/counties/28007,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Attala County,Mississippi,https://livingwage.mit.edu/counties/28007,Minimum Wage
0,$12.90,$25.36,$30.34,$38.51,$22.24,$25.78,$29.38,$31.62,$11.12,$14.07,$17.05,$19.34,Benton County,Mississippi,https://livingwage.mit.edu/counties/28009,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Benton County,Mississippi,https://livingwage.mit.edu/counties/28009,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Benton County,Mississippi,https://livingwage.mit.edu/counties/28009,Minimum Wage
0,$12.91,$25.66,$30.94,$38.49,$21.75,$25.78,$29.39,$30.71,$10.87,$14.22,$17.35,$19.33,Bolivar County,Mississippi,https://livingwage.mit.edu/counties/28011,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Bolivar County,Mississippi,https://livingwage.mit.edu/counties/28011,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Bolivar County,Mississippi,https://livingwage.mit.edu/counties/28011,Minimum Wage
0,$12.90,$25.28,$30.19,$37.78,$22.09,$25.78,$29.38,$31.11,$11.05,$14.03,$16.97,$18.98,Calhoun County,Mississippi,https://livingwage.mit.edu/counties/28013,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Calhoun County,Mississippi,https://livingwage.mit.edu/counties/28013,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Calhoun County,Mississippi,https://livingwage.mit.edu/counties/28013,Minimum Wage
0,$12.95,$26.10,$31.76,$39.70,$21.89,$25.84,$29.44,$30.78,$10.94,$14.44,$17.75,$19.94,Carroll County,Mississippi,https://livingwage.mit.edu/counties/28015,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Carroll County,Mississippi,https://livingwage.mit.edu/counties/28015,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Carroll County,Mississippi,https://livingwage.mit.edu/counties/28015,Minimum Wage
0,$12.51,$25.75,$31.11,$39.07,$21.69,$25.78,$29.38,$31.02,$10.84,$14.26,$17.43,$19.62,Chickasaw County,Mississippi,https://livingwage.mit.edu/counties/28017,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Chickasaw County,Mississippi,https://livingwage.mit.edu/counties/28017,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Chickasaw County,Mississippi,https://livingwage.mit.edu/counties/28017,Minimum Wage
0,$13.06,$25.83,$31.07,$38.64,$21.84,$25.98,$29.59,$30.96,$10.92,$14.30,$17.41,$19.41,Choctaw County,Mississippi,https://livingwage.mit.edu/counties/28019,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Choctaw County,Mississippi,https://livingwage.mit.edu/counties/28019,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Choctaw County,Mississippi,https://livingwage.mit.edu/counties/28019,Minimum Wage
0,$12.90,$25.92,$31.45,$39.26,$22.00,$25.78,$29.38,$30.70,$11.00,$14.34,$17.60,$19.72,Claiborne County,Mississippi,https://livingwage.mit.edu/counties/28021,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Claiborne County,Mississippi,https://livingwage.mit.edu/counties/28021,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Claiborne County,Mississippi,https://livingwage.mit.edu/counties/28021,Minimum Wage
0,$12.90,$25.12,$29.87,$36.89,$21.84,$25.78,$29.38,$30.70,$10.92,$13.95,$16.81,$18.53,Clarke County,Mississippi,https://livingwage.mit.edu/counties/28023,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Clarke County,Mississippi,https://livingwage.mit.edu/counties/28023,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Clarke County,Mississippi,https://livingwage.mit.edu/counties/28023,Minimum Wage
0,$12.90,$25.49,$30.60,$38.89,$21.84,$25.78,$29.38,$31.62,$10.92,$14.13,$17.17,$19.53,Clay County,Mississippi,https://livingwage.mit.edu/counties/28025,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Clay County,Mississippi,https://livingwage.mit.edu/counties/28025,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Clay County,Mississippi,https://livingwage.mit.edu/counties/28025,Minimum Wage
0,$12.45,$25.47,$30.56,$37.93,$21.87,$25.78,$29.38,$30.70,$10.94,$14.12,$17.16,$19.05,Coahoma County,Mississippi,https://livingwage.mit.edu/counties/28027,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Coahoma County,Mississippi,https://livingwage.mit.edu/counties/28027,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Coahoma County,Mississippi,https://livingwage.mit.edu/counties/28027,Minimum Wage
0,$14.43,$27.60,$33.01,$41.23,$23.65,$27.58,$31.19,$33.04,$11.82,$15.19,$18.38,$20.70,Copiah County,Mississippi,https://livingwage.mit.edu/counties/28029,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Copiah County,Mississippi,https://livingwage.mit.edu/counties/28029,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Copiah County,Mississippi,https://livingwage.mit.edu/counties/28029,Minimum Wage
0,$13.03,$25.12,$29.68,$36.56,$21.82,$25.95,$29.55,$30.91,$10.91,$13.94,$16.72,$18.37,Covington County,Mississippi,https://livingwage.mit.edu/counties/28031,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Covington County,Mississippi,https://livingwage.mit.edu/counties/28031,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Covington County,Mississippi,https://livingwage.mit.edu/counties/28031,Minimum Wage
0,$14.14,$29.00,$36.00,$46.39,$23.51,$27.39,$31.00,$33.43,$11.76,$15.88,$19.87,$23.28,DeSoto County,Mississippi,https://livingwage.mit.edu/counties/28033,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,DeSoto County,Mississippi,https://livingwage.mit.edu/counties/28033,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,DeSoto County,Mississippi,https://livingwage.mit.edu/counties/28033,Minimum Wage
0,$13.23,$27.27,$32.96,$41.51,$22.98,$26.97,$30.58,$32.48,$11.49,$15.02,$18.35,$20.84,Forrest County,Mississippi,https://livingwage.mit.edu/counties/28035,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Forrest County,Mississippi,https://livingwage.mit.edu/counties/28035,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Forrest County,Mississippi,https://livingwage.mit.edu/counties/28035,Minimum Wage
0,$12.90,$25.88,$31.38,$39.48,$21.84,$25.78,$29.38,$31.03,$10.92,$14.32,$17.56,$19.82,Franklin County,Mississippi,https://livingwage.mit.edu/counties/28037,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Franklin County,Mississippi,https://livingwage.mit.edu/counties/28037,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Franklin County,Mississippi,https://livingwage.mit.edu/counties/28037,Minimum Wage
0,$13.39,$27.36,$33.69,$42.45,$22.17,$26.42,$30.02,$31.50,$11.09,$15.06,$18.72,$21.31,George County,Mississippi,https://livingwage.mit.edu/counties/28039,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,George County,Mississippi,https://livingwage.mit.edu/counties/28039,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,George County,Mississippi,https://livingwage.mit.edu/counties/28039,Minimum Wage
0,$12.95,$25.78,$31.18,$39.12,$21.79,$25.78,$29.38,$30.96,$10.89,$14.28,$17.47,$19.65,Greene County,Mississippi,https://livingwage.mit.edu/counties/28041,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Greene County,Mississippi,https://livingwage.mit.edu/counties/28041,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Greene County,Mississippi,https://livingwage.mit.edu/counties/28041,Minimum Wage
0,$12.90,$25.95,$31.52,$39.43,$21.69,$25.78,$29.38,$30.76,$10.84,$14.36,$17.63,$19.80,Grenada County,Mississippi,https://livingwage.mit.edu/counties/28043,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Grenada County,Mississippi,https://livingwage.mit.edu/counties/28043,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Grenada County,Mississippi,https://livingwage.mit.edu/counties/28043,Minimum Wage
0,$14.30,$28.61,$35.49,$45.80,$23.35,$27.12,$30.73,$33.19,$11.67,$15.69,$19.62,$22.99,Hancock County,Mississippi,https://livingwage.mit.edu/counties/28045,Living Wage
